Cd Empresa;Cd Filial;Nm Filial;Tipo Local;Cd Local;Ds Local Estoque;Cd Item;Nome do Item Resumido ;Nome do Item Detalhado;Cd Unidade Medida;Cd Grupo;Nm Grupo;Cd Subgrupo;Nm Subgrupo;Cd Classe;Nm Classe;Qt Saldo Atual;Vl Custo Unitario Atual;Vl Saldo Atual;Qt Maximo;Qt Minimo;Qt Previsao Consumo;Cd Reparticao;Cd Prateleira;Cd Divisao
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;305167;"ROLAMENTO FIXO ESF;25X52X15M";ROLAMENTO FIXO ESF25X52X15MMGAI ACO6205 ZZ;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;16;ROLAMENTOS;0;27;0;0;0;;AP;0;0
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;305724;CONECTOR RETO MACHO MATERIAL;CONECTOR RETO MACHO MATERIAL POLIPROPILENO TRATAM SUPERF STRAT LIGACAO ROSCA BSP ISO 71 12POL MAT POR SPORCA MAT ANEL PENETR S ANEL PENET JUN VEDA ANEL O NBR 12MM;UN;2;MATERIAIS GERAIS USO/CONSUMO;3;PECAS REPOSICAO HIDRAULICA;1;CONEXOES                      ;0;15,6235;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;305816;"ROLAMENTO FIXO ESF;17X47X14M";ROLAMENTO FIXO ESF17X47X14MM6303C3;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;16;ROLAMENTOS;5;169,196;845,98;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;306562;ABRACADEIRA FLEXIVEL MATERIA;ABRACADEIRA FLEXIVEL MATERIAL POLIAMIDA 66 COR BRANCO TEMPERATURA OPERACAO 4085C FLAMABILIDADE UL94V2 COMPRIMENTO 53500 MM LARGURA 1310 MM DIAMETRO MAXIMO AMARRACAO 15000 MMT250R HELLERMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;2;PECAS REPOSICAO ELETRICA;25;ABRACADEIRAS;0;3,1099;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;306566;ABRACADEIRA PA 6.6 PT 390 4,;ABRACADEIRA PA 66 PT 390 46 MM;UN;2;MATERIAIS GERAIS USO/CONSUMO;2;PECAS REPOSICAO ELETRICA;25;ABRACADEIRAS;200;0,55375;110,75;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;307976;"ANEL;HANDTMANN/835796";ANELHANDTMANN835796;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;66;MATERIAL MANUTENCAO INDUSTRIAL;0;226,9246429;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;308215;ROLAMENTO RIGIDO ESFERA SUC2;ROLAMENTO RIGIDO ESFERA SUC209 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AI ANEL EXT ABAULADO ANEL INT CPARAF TRAVA RANH SRANH FOLGA NOR GAIOLA ACO INOX SVEDACAO DUPLA DIAM IN 45 MM DIAM EX 85 MM LARG 22 MM;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;16;ROLAMENTOS;2;516,295;1032,59;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;309341;"FITA ANTIDERRAPANTE;ADESIVA;";FITA ANTIDERRAPANTEADESIVAPOLIURETANOACRILPT50MMRL 5M;RL;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;66;MATERIAL MANUTENCAO INDUSTRIAL;0;31,831;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;310003;"ROLAMENTO FIXACAO RAPIDA;40X";ROLAMENTO FIXACAO RAPIDA40X80X22X4920MMSUC 208 V22;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;16;ROLAMENTOS;2;423,18;846,36;2;2;;G;1;4
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;311040;"ACOPLAMENTO;MAYEKAWA/1070130";ACOPLAMENTOMAYEKAWA107013023;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;18;ACOPLAMENTOS;0;5321,6;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;311334;ABRACADEIRA TC MATERIAL ACO ;ABRACADEIRA TC MATERIAL ACO INOX ACABAMENTO SANITARIO TIPO ALTA PRESSAO NORMA ISO 2852 DIAMETRO 3 POL PRESSAO OPERACAO 80 KGFCM2010030490943 CHOAITEC;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;17;ABRACADEIRAS;0;51,41;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;311467;KIT P/ PECAS E RECARGA DE;KIT P PECAS E RECARGA DE EXTINTOR DE INCENDIO SOBRE RODAS;PC;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;5;EXTINTORES E ACESSORIOS;0;55,89;0;;;;;;
