cod_item;saldo_atual;valor_total
493396;0;0
493398;0;0
494749;0;0
495875;0;0
496855;0;0
496880;0;0
497304;0;0
498440;0;0
500330;0;0
500585;0;0
502804;1880;6943,300061
502966;0;0
502981;0;0
503095;0;0
503156;0;0
506001;0;0
506259;0;0
507164;0;0
507218;1396,062;39663,32049
507749;0;0
507890;0;0
508879;0;0
509085;0;0
509324;0;0
509501;0;0
509502;0;0
509503;0;0
509504;0;0
509533;0;0
510792;0;0
510794;0;0
510851;0;0
510941;0;0
512562;0;0
512646;0;0
513240;0;0
513242;0;0
513280;0;0
513284;0;0
513395;0;0
513495;0;0
516244;0;0
517802;0;0
518169;0;0
519399;0;0
519617;0;0
520326;0;0
520327;0;0
520328;0;0
520329;0;0
520331;0;0
520332;0;0
522004;0;0
522100;0;0
522516;0;0
524021;0;0
524862;0;0
524863;0;0
525128;0;0
525696;0;0
525838;0;0
526222;0;0
526225;0;0
526593;0;0
527275;0;0
529316;0;0
529380;0;0
529804;0;0
531209;0;0
531255;0;0
531465;0;0
531873;0;0
533096;0;0
534278;0;0
537145;0;0
537701;0;0
538315;38703;17012,60146
538484;0;0
538492;775,29;15495,81653
538629;0;0
539264;37000;9771,020853
539296;0;0
539318;0;0
539442;17435;12509,33991
539656;0;0
540088;0;0
540776;0;0
541700;0;0
541701;0;0
541704;0;0
543406;0;0
543488;0;0
543904;0;0
547770;0;0
547835;0;0
548425;0;0
549262;0;0
551643;160000;16023,79
553246;0;0
553870;6000;602,74408
558457;0;0
559911;0;0
564081;0;0
567093;0;0
569243;0;0
573948;0;0
575284;0;0
576139;0;0
576168;0;0
576469;0;0
578700;0;0
578881;0;0
579299;0;0
579906;0;0
581925;0;0
583008;0;0
584476;0;0
584493;0;0
584593;0;0
584596;0;0
584863;0;0
584864;0;0
585166;0;0
585279;0;0
588529;0;0
588530;0;0
588531;0;0
588651;0;0
589832;36187;13212,76727
593376;0;0
593913;0;0
593969;0;0
593973;0;0
593979;0;0
594012;0;0
594013;0;0
594014;0;0
594018;0;0
594019;0;0
594054;0;0
594055;0;0
594056;0;0
594058;0;0
594060;0;0
594063;0;0
594068;0;0
594081;0;0
594085;0;0
595065;0;0
595221;0;0
595227;0;0
595228;0;0
595413;0;0
596065;0;0
596241;0;0
596340;0;0
599109;0;0
599111;0;0
599113;0;0
599116;0;0
599117;0;0
599118;0;0
599121;0;0
599125;0;0
599126;0;0
599448;0;0
599451;0;0
599507;0;0
599679;16000;2924,856
600120;0;0
600241;0;0
600242;0;0
601638;23;3825,200873
698347;0;0
754897;0;0
785709;0;0
805309;0;0
814601;0;0
830542;0;0
852252;0;0
896250;0;0
925020;0;0
959006;0;0
965383;0;0
2197;0;0
2653;0;0
6981;0;0
8282;8697,1057;174392,995
9152;0;0
10554;12000;2066,178261
11913;0;0
15715;0;0
19808;3094;5523,923719
19821;0;0
22038;0;0
22282;0;0
22289;0;0
22290;300;24772
22291;0;0
22293;0;0
22294;0;0
22297;0;0
22298;0;0
22299;0;0
22414;0;0
22515;0;0
22517;0;0
