Mês Movimento;Cd Filial;Nm Filial;Cd Item;Nm Item;Cd Local Estoque;Ds Local Estoque;Qt Movimento;Vl Movimento;soma quantidade movimento
julho;704;ROLANDIA - AB. AVES;371945;REFIL RODO BORRACHA VERMELHO;12;MATERIAIS DE LIMPEZA;-45;-856,74;-45
julho;704;ROLANDIA - AB. AVES;372556;CONECTOR RETO MACHO MATERIAL;6;MANUTENÇÃO HIDRAULICA E CIVIL;-13;-76,73348488;-13
julho;704;ROLANDIA - AB. AVES;372556;CONECTOR RETO MACHO MATERIAL;602;MANUTENÇÃO;-4;-26,3186;-4
julho;704;ROLANDIA - AB. AVES;372558;CONECTOR COMPRESSAO TUBO/TUB;6;MANUTENÇÃO HIDRAULICA E CIVIL;-23;-60,45714289;-23
julho;704;ROLANDIA - AB. AVES;372561;CONECTOR RETO MACHO MATERIAL;6;MANUTENÇÃO HIDRAULICA E CIVIL;-14;-80,6615385;-14
julho;704;ROLANDIA - AB. AVES;372565;CONECTOR TEE MATERIAL POLIPR;6;MANUTENÇÃO HIDRAULICA E CIVIL;-5;-15,61869565;-5
julho;704;ROLANDIA - AB. AVES;372624;MEIO CULTURA SUBSTANCIA PLAC;19;MATERIAIS DE LABORATÓRIO;-1;-603,9057295;-1
julho;704;ROLANDIA - AB. AVES;374112;INTERRUPTOR ESPECIFICO 85463;618;ESTOQUE SALSICHA;-2;-1296,718333;-2
julho;704;ROLANDIA - AB. AVES;374165;"SAL;REFINADO;IODADO;PCT 1KG";17;REFEITORIO;-516;-837,0000012;-516
julho;704;ROLANDIA - AB. AVES;374165;"SAL;REFINADO;IODADO;PCT 1KG";625;REFEITORIO;-77;-115,5429027;-77
julho;704;ROLANDIA - AB. AVES;374166;"ACHOCOLATADO;PO;A GRANEL";17;REFEITORIO;-54;-601,4484093;-54
julho;704;ROLANDIA - AB. AVES;374166;"ACHOCOLATADO;PO;A GRANEL";625;REFEITORIO;-10;-149,5;-10
julho;704;ROLANDIA - AB. AVES;374175;FRUTA UVA PASSA DESIDRATADO;17;REFEITORIO;32;672;32
julho;704;ROLANDIA - AB. AVES;374176;GRAOS CEREAL ARROZ AGULHINHA;17;REFEITORIO;-1310;-18549,23402;-1310
julho;704;ROLANDIA - AB. AVES;374176;GRAOS CEREAL ARROZ AGULHINHA;625;REFEITORIO;-356;-5042,801883;-356
julho;704;ROLANDIA - AB. AVES;374185;CONDIMENTO ESPECIARIA CRAVO;17;REFEITORIO;-20;-2204,803704;-20
julho;704;ROLANDIA - AB. AVES;374186;ACUCAR TIPO CRISTAL FORNECIM;17;REFEITORIO;-398;-6283,615163;-398
julho;704;ROLANDIA - AB. AVES;374186;ACUCAR TIPO CRISTAL FORNECIM;625;REFEITORIO;114;1760,345803;114
julho;704;ROLANDIA - AB. AVES;374188;MACARRAO ESPAGUETE S/OVOS EM;17;REFEITORIO;921;2753,79;921
julho;704;ROLANDIA - AB. AVES;374188;MACARRAO ESPAGUETE S/OVOS EM;625;REFEITORIO;-40;-119,6;-40
julho;704;ROLANDIA - AB. AVES;374193;"FEIJAO;PRETO;PACOTE 1KG";17;REFEITORIO;-330;-1426,680994;-330
julho;704;ROLANDIA - AB. AVES;374193;"FEIJAO;PRETO;PACOTE 1KG";625;REFEITORIO;-340;-1540,720509;-340
julho;704;ROLANDIA - AB. AVES;374194;GRAOS CEREAL FEIJAO CARIOCA;17;REFEITORIO;-3636;-31809,58416;-3636
julho;704;ROLANDIA - AB. AVES;374194;GRAOS CEREAL FEIJAO CARIOCA;625;REFEITORIO;-713;-6250,006258;-713
julho;704;ROLANDIA - AB. AVES;374197;MOLHO MOSTARDA EMBALAGEM 3KG;17;REFEITORIO;-10;-117,9922066;-10
julho;704;ROLANDIA - AB. AVES;374197;MOLHO MOSTARDA EMBALAGEM 3KG;625;REFEITORIO;-14;-165,5;-14
julho;704;ROLANDIA - AB. AVES;374203;LEGUMES ERVILHA CONSERVA INT;17;REFEITORIO;-104;-1753,656667;-104
julho;704;ROLANDIA - AB. AVES;374203;LEGUMES ERVILHA CONSERVA INT;625;REFEITORIO;-4;-85,4;-4
julho;704;ROLANDIA - AB. AVES;374208;GRAOS CEREAL SOJA EMBALAGEM;17;REFEITORIO;-77;-464,4012398;-77
julho;704;ROLANDIA - AB. AVES;374208;GRAOS CEREAL SOJA EMBALAGEM;625;REFEITORIO;-6;-46,61899998;-6
julho;704;ROLANDIA - AB. AVES;374209;"FUBA;PACOTE 1KG";17;REFEITORIO;-156;-473,7189937;-156
julho;704;ROLANDIA - AB. AVES;374209;"FUBA;PACOTE 1KG";625;REFEITORIO;-44;-128,1336968;-44
julho;704;ROLANDIA - AB. AVES;374211;CONDIMENTO ESPECIARIA CALDO;17;REFEITORIO;-520;-3349,673577;-520
julho;704;ROLANDIA - AB. AVES;374211;CONDIMENTO ESPECIARIA CALDO;625;REFEITORIO;-84;-803,4845495;-84
julho;704;ROLANDIA - AB. AVES;374212;MOLHO KETCHUP EMBALAGEM 3KG;625;REFEITORIO;-11;-161,1075757;-11
julho;704;ROLANDIA - AB. AVES;374214;"FARINHA TRIGO;TRADICIONAL;PC";17;REFEITORIO;15;44,2522651;15
julho;704;ROLANDIA - AB. AVES;374214;"FARINHA TRIGO;TRADICIONAL;PC";625;REFEITORIO;-19;-53,47919118;-19
julho;704;ROLANDIA - AB. AVES;374218;CONDIMENTO ESPECIARIA CALDO;17;REFEITORIO;-154;-993,2419731;-154
