Cd Empresa;Cd Filial;Nm Filial;Tipo Local;Cd Local;Ds Local Estoque;Cd Item;Nome do Item Resumido ;Nome do Item Detalhado;Cd Unidade Medida;Cd Grupo;Nm Grupo;Cd Subgrupo;Nm Subgrupo;Cd Classe;Nm Classe;Qt Saldo Atual;Vl Custo Unitario Atual;Vl Saldo Atual;Qt Maximo;Qt Minimo;Qt Previsao Consumo;Cd Reparticao;Cd Prateleira;Cd Divisao
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;492528;LUVA ISOLANTE MATERIAL BORRA;LUVA ISOLANTE MATERIAL BORRACHA CLASSE 00 COMPRIMENTOXPALMA 356MMX11POL TESTE VOLTS 25 KV TENSAO MAXIMA 05 KV TAMNHO P;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;49;LUVA ISOLANTE;0;292,8825;0;2;1;;E2;12;2
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;515443;"OCULOS SEGURANCA;POLICARBONA";OCULOS SEGURANCAPOLICARBONATOELASTICOTAM UNICO;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;20;OCULOS DE PROTEÇÃO;33;50,30310256;1660,002385;60;20;;E2;2;7
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;525432;CAMISA MODELO UNISSEX CATEGO;CAMISA MODELO UNISSEX CATEGORIA UNISSEX MATERIAL 48TENCEL 40MODACRYLICO 12ARAMIDA COR CAQUI TAMANHO GG216661 LEAL INDUSTRIA E COMERCIO;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;27;VESTIMENTAS DE PROTEÇÃO CONTRA;9;405,957;3653,613;5;2;;E2;3;3
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;525435;CALCA CATEGORIA UNISSEX MATE;CALCA CATEGORIA UNISSEX MATERIAL 48TENCEL 40MODACRYLICO COR MARROM SFORRO BOLSO LATERAL DIREITO BARRA CELASTICO TAMANHO GG PERSONALIZACAO CNUMERACAO E LOGO;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;27;VESTIMENTAS DE PROTEÇÃO CONTRA;12;498,3046154;5979,655385;4;2;;E1;2;2
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;527601;CALCA CATEGORIA UNISSEX MATE;CALCA CATEGORIA UNISSEX MATERIAL 48TENCEL 40MODACRYLICO COR CAQUI SFORRO BOLSO LATERAL DIREITO BARRA CELASTICO FECHAMENTO VELCRO TAMANHO G PERSONALIZACAO CNUMERACAO E LOGO;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;27;VESTIMENTAS DE PROTEÇÃO CONTRA;6;502,4309016;3014,58541;4;2;;E1;2;2
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;527606;CAMISA MODELO UNISSEX CATEGO;CAMISA MODELO UNISSEX CATEGORIA UNISSEX MATERIAL 48TENCEL 40MODACRYLICO 12ARAMIDA COR CAQUI TAMANHO G216661 LEAL CA 40544 LEAL;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;27;VESTIMENTAS DE PROTEÇÃO CONTRA;7;404,6211905;2832,348333;4;2;;E2;5;4
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;527608;CAMISA MODELO UNISSEX CATEGO;CAMISA MODELO UNISSEX CATEGORIA UNISSEX MATERIAL 48TENCEL 40MODACRYLICO 12ARAMIDA COR CAQUI TAMANHO MCA 40544 LEAL 216661 LEAL;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;27;VESTIMENTAS DE PROTEÇÃO CONTRA;7;419,7353004;2938,147103;4;2;;E1;2;1
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;527609;CAMISA MODELO UNISSEX CATEGO;CAMISA MODELO UNISSEX CATEGORIA UNISSEX MATERIAL 48TENCEL 40MODACRYLICO 12ARAMIDA COR CAQUI TAMANHO P40544 LEAL;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;27;VESTIMENTAS DE PROTEÇÃO CONTRA;5;423,7458333;2118,729167;3;1;;E1;3;6
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;527656;CALCA CATEGORIA UNISSEX MATE;CALCA CATEGORIA UNISSEX MATERIAL 48TENCEL 40MODACRYLICO COR CAQUI SFORRO BOLSO LATERAL DIREITO BARRA CELASTICO FECHAMENTO VELCRO TAMANHO M PERSONALIZACAO CNUMERACAO E LOGO40548 LEAL;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;27;VESTIMENTAS DE PROTEÇÃO CONTRA;9;498,506;4486,554;4;2;;E1;2;2
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534861;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 35CA 12214 MARLUVAS;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;16;92,628;1482,048;10;6;;E2;11;2
