cod_filial;nome_filial;LC_ESTOQUE;NOME_ESTOQUE;cod_item;nome_item;prateleira;divisao;reparticao;EST_MAX;EST_MIN;lead_time;cod_fornecedor;equipamento;especificacao;locais_aplicacao
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;366233;ESTRANGULADOR ESPECIFICO 448;B3;5;6;0;0;45 DIAS;;;ESTRANGULADOR ESPECIFICO 4484550 MADEF;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;366722;MANCAL S/ROLAMENTO MATERIAL;E1;4;10;4;2;45 DIAS;;;MANCAL SROLAMENTO MATERIAL FERRO FUNDIDO TIPO CARCACA FLANGE TAMPA STAMPA FIXACAO 4 PARAFUSOS DIAMETRO EIXO 50 UNIDADE MEDIDA MM REFERENCIA F210;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;366760;FILTRO BLINDADO OLEO COMPRES;B6;3;4;2;1;45 DIAS;;;FILTRO BLINDADO OLEO COMPRESSOR AR00703830AT SCHULZ;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;366762;"ELEMENTO;SCHULZ/02100091";B6;3;4;1;1;45 DIAS;;;ELEMENTOSCHULZ02100091;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;367586;PINO ESPECIFICO 891123015000;E0;6;4;20;10;45 DIAS;;;PINO ESPECIFICO 8911230150003 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;367588;GRAMPO ESPECIFICO 8909090150;E0;6;4;40;20;45 DIAS;;;GRAMPO ESPECIFICO 8909090150014 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;367608;EIXO ESPECIFICO 070000000131;E0;6;4;1;1;45 DIAS;;;EIXO ESPECIFICO 0700000001317 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;367675;EIXO ESPECIFICO 0990A0400160;E0;6;5;0;0;45 DIAS;;;EIXO ESPECIFICO 0990A04001600 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;367744;CORREIA ESPECIFICO 100202350;E0;2;8;15;5;45 DIAS;;;CORREIA ESPECIFICO 10020235069 USINOX;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;367802;PINO ESPECIFICO 891144015000;E0;6;4;0;0;45 DIAS;;;PINO ESPECIFICO 8911440150004 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;368005;BARRA NAO METALICA CIRCULAR;B3;1;5;2;1;45 DIAS;;;BARRA NAO METALICA CIRCULAR ACETAL SEM ACABAMENTO DIMENSOES 80MM COMPRIMENTO 1000 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;368064;"PLACA;MEYN/07000010E0310";E0;6;5;20;10;45 DIAS;;;PLACAMEYN07000010E0310;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;368476;ESTATOR ESPECIFICO NDB495509;A1;3;8;2;1;45 DIAS;;;ESTATOR ESPECIFICO NDB4955091 NETZSCH;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;369879;ROLAMENTO RIGIDO ESFERA 6012;E1;2;3;2;1;45 DIAS;;;ROLAMENTO RIGIDO ESFERA 6012 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AI ANEL EXT CIL ANEL INT CON RANH SRANH FOLGA NOR GAIOLA ACO INOX DUPLA SBLINDAGEM DIAM IN 60 MM DIAM EX 95 MM LARG 18 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;370543;DIGITO ESPECIFICO USD217 USI;E0;4;8;3;2;45 DIAS;;;DIGITO ESPECIFICO USD217 USINOX;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;370546;VALVULA ESPECIFICO 100201808;E0;4;9;2;1;45 DIAS;;;VALVULA ESPECIFICO 10020180852 USINOX;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;370553;BATENTE ESPECIFICO USD211 US;C7;3;5;0;0;45 DIAS;;;BATENTE ESPECIFICO USD211 USINOX;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;370804;CHAVETA PARALELA S/RAIOS MAT;E0;5;10;2;1;45 DIAS;;;CHAVETA PARALELA SRAIOS MATERIAL ACO CARBONO SAE1045 COMPRIMENTO 500 MM LARGURA 10 MM ESPESSURA 10 MM NORMA CHAVETA DIN 6887;
