Chave Filial;Data;Area;Cd Local Estoque;Filial;Item;Nome Diretoria;Nome Grupo;Nome Agrupado;Nome Classe;Nome Cluster;Nome Complexo;Nome Regional;Nome SubGrupo;Nome Utilização;Consumo Meta;Consumo Real;Excesso;Giro Meta;Giro Real;Giro sem Excesso;Saldo Meta;Saldo Real;Saldo sem Excesso;Saldo Qtd;Consumo Qtd
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;392009 - CHAVETA ESPECIFICO 891305015;N/D;Criticos;Total Outros;MATERIAL MANUTENCAO INDUSTRIAL;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0,01939;0;-;0;0;0;0;0;0;0,001
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;392024 - ARRUELA ESPECIFICO 890913015;N/D;Criticos;Total Outros;ARRUELAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0,70893;0;-;60;60;0;1,41786;1,41786;0,04;0,02
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;392257 - ANILHA ESPECIFICO 531393 STO;N/D;Criticos;Total Outros;ANÉIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;1,34404;1,34404;0,048;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;392488 - SENSOR FOTOELETRICO MATERIAL;N/D;Criticos;Total Outros;SENSORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;13,75659966;13,75659966;0,004;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;392946 - RELE ESPECIFICO 9371972 ULMA;N/D;Criticos;Total Outros;RELES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,0603793;0,0603793;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;393180 - SELO ESPECIFICO 96511844 GRU;N/D;Criticos;Total Outros;SELOS MECÂNICOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;2,766505;2,766505;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;393234 - ANEL ESPECIFICO 867716 NETZS;N/D;Criticos;Total Outros;ANÉIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,09491;0,09491;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;393377 - BUCHA ESPECIFICO 892769 NETZ;N/D;Criticos;Total Outros;BUCHAS E MANCAIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,80172;0,80172;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;393379 - ANEL ESPECIFICO 876400 NETZS;N/D;Criticos;Total Outros;ANÉIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,31302;0,31302;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;393611 - ROLAMENTO ESPECIFICO 105570;N/D;Criticos;Total Outros;ROLAMENTOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;1,170417857;1,170417857;0,013;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;393785 - BARRA NAO METALICA CIRCULAR;N/D;Criticos;Total Outros;MATERIAL MANUTENCAO INDUSTRIAL;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,27176;0,27176;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;394337 - ACOPLAMENTO ESPECIFICO E148;N/D;Criticos;Total Outros;ACOPLAMENTOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;1,53;1,53;0,003;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;394650 - RETENTOR ESPECIFICO 89347990;N/D;Criticos;Total Outros;RETENTORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;1,309032;1,309032;0,008;0
